0.690
4,17950442
4,20156683
4,22850379
0,20616807
0,14691746
0,20007222
0,20086246
4,20512249
0,20494616
0,18326361
4,22564864
0,21876653
0,18804865
4,19695947
4,20674450
4,22113516
0,17959597
0,21868149
4,19681490
4,22987668
0,19562957
0,15648553
0,19645889
0,21791067
0,18362066
0,20521196
4,17521247
0,16852183
0,18804582
4,20125573
0,20122761
4,22048679
0,16784929
0,20654770
4,22571240
4,21764771
0,20633745
0,18802676
0,20601876
4,21873184
4,23008851
0,19898419
0,20171942
4,19697187
0,20065320
4,22612869
0,20028330
4,21747282
4,20541990
4,23259101
4,21754949
0,19848820
4,18831048
0,20652811
0,20004004
4,22271421
4,22188417
4,21844238
4,19858204
0,20634131
4,18801301
4,16775936
0,20623615
0,15587927
0,19656203
4,20025453
4,20553228
4,22138075
4,17534318
0,20579582
4,15508389
4,19694646
4,20535437
0,19564211
0,18276480
0,20006712
4,22069002
0,20024435
4,20066247
0,19904475
0,19959403
0,20549212
4,20701830
0,20578198
0,20623994
0,20302135
0,21896052
0,15512422
0,20719142
0,19810298
0,19747419
4,20642081
0,19887705
4,20667497
4,19813430
4,22262153
0,21762771
4,19831275
4,22190858
4,19895687
0,19638201
0,20638225
4,20618913
0,21795545
0,20628932
4,20062909
0,19976590
4,20604233
0,21751593
0,19715133
0,17951346
4,22430495
0,19687660
0,20532985
0,17545240
4,15581592
0,20528668
0,18246213
0,20684981
4,19796789
0,19824310
4,22026947
4,16935330
0,17598171
0,20091865
0,21888209
0,17942686
0,19569262
4,19942158
0,19572410
0,17534153
4,19856932
0,20609247
0,21807503
4,21976873
0,20086251
4,22663969
4,22599354
0,19951286
4,22595547
0,20150638
4,21908323
0,21768377
0,18809340
0,20498780
0,19820498
0,19802544
0,21881300
0,19793502
4,22187377
4,21853531
4,22048878
4,19837180
0,20033170
4,20187715
0,18805806
0,14682689
4,22177937
4,21903985
4,23275294
0,18364563
4,19756551
4,19852877
4,22598256
4,23230366
0,20013221
0,19645454
4,22139472
0,20186866
4,19929752
0,15737182
0,20609230
4,22996673
0,18255591
4,16873601
0,21918051
0,20155561
